loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0016,1.1,6.0,20,30,5,kmeans,0.8041978138234139,0.004176479504219711,0.003905668789489207,0.003220801965178659,0.8246480023719276,1.6098616518478686,0.4,
0.0012,1.6,4.0,12,3,9,jump,0.7417749910259168,0.004539609225344531,0.004287667504220915,0.002391059147367138,0.5576596471189298,0.9923865263755136,38.3,
0.0012,1.6,4.0,12,3,9,kmeans,0.7316573599949956,0.004539609225344531,0.004287667504220915,0.002391059147367138,0.5576596471189298,0.9923865263755136,0.4,
0.0016,1.6,2.0,8,0.3,6,jump,0.7711053444749096,0.004953680880755861,0.004549935746782407,0.0031891084136961784,0.7009128460663275,1.3065958424443629,38.4,
0.0016,1.6,2.0,8,0.3,6,kmeans,0.7683077898870738,0.004953680880755861,0.004549935746782407,0.0031891084136961784,0.7009128460663275,1.3065958424443629,0.3,
0.002,1.4,4.0,8,3,7,jump,0.8307568506582367,0.004787668726949317,0.0045665075946764245,0.003993354948441405,0.8744877492587128,0.8615092881372295,38.5,
0.002,1.4,4.0,8,3,7,kmeans,0.8228878882577815,0.004787668726949317,0.0045665075946764245,0.003993354948441405,0.8744877492587128,0.8615092881372295,0.3,
0.0016,1.4,2.0,12,0.3,3,jump,0.7638828964377461,0.0054317315040165425,0.00449517137539008,0.0032282931016192193,0.7181690823387297,3.9933129381717656,38.3,
0.0016,1.4,2.0,12,0.3,3,kmeans,0.7606112117237593,0.0054317315040165425,0.00449517137539008,0.0032282931016192193,0.7181690823387297,3.9933129381717656,0.3,
0.0016,0.8,4.0,12,3,2,jump,0.8205053799638434,0.004050177438486469,0.0033119101567644455,0.0031802428499592625,0.9602442999438684,5.782088421693679,38.4,
0.0016,0.8,4.0,12,3,2,kmeans,0.8112497705074305,0.004050177438486469,0.0033119101567644455,0.0031802428499592625,0.9602442999438684,5.782088421693679,0.3,
0.0016,1.4,4.0,12,0.3,7,jump,0.7876022022192843,0.00467684052858542,0.004338371064709133,0.0031947652799648304,0.7363974248198671,1.6031511106898613,38.2,
0.0016,1.4,4.0,12,0.3,7,kmeans,0.7845307620932169,0.00467684052858542,0.004338371064709133,0.0031947652799648304,0.7363974248198671,1.6031511106898613,0.3,
0.0008,1.4,4.0,20,0.03,9,jump,0.6575677526778267,0.004490182555520813,0.004063303209550228,0.001584864901954061,0.390043474537922,2.842257367590812,38.4,
0.0008,1.4,4.0,20,0.03,9,kmeans,0.657601131584975,0.004490182555520813,0.004063303209550228,0.001584864901954061,0.390043474537922,2.842257367590812,0.5,
0.002,1.6,2.0,12,30,2,jump,0.8251881484061983,0.005214991387342171,0.004734075782599021,0.004013794030315842,0.8478516641134667,2.4789192276047283,37.8,
0.002,1.6,2.0,12,30,2,kmeans,0.8011078264718867,0.005214991387342171,0.004734075782599021,0.004013794030315842,0.8478516641134667,2.4789192276047283,0.5,
0.0008,1.1,4.0,12,3,7,jump,0.6909432499181433,0.004365302383575292,0.003655720397492126,0.0016236170402495558,0.44413053070562486,3.542194977777852,37.9,
0.0008,1.1,4.0,12,3,7,kmeans,0.6782371630369937,0.004365302383575292,0.003655720397492126,0.0016236170402495558,0.44413053070562486,3.542194977777852,0.4,
0.0018,0.8,4.0,12,100,2,jump,0.8095919788868136,0.004132703486735007,0.003484305125137008,0.003580242849959262,1.0275342489755346,5.309228465885502,36.4,
0.0018,0.8,4.0,12,100,2,kmeans,0.829010737847199,0.004132703486735007,0.003484305125137008,0.003580242849959262,1.0275342489755346,5.309228465885502,0.3,
0.002,1.4,6.0,12,0.3,7,jump,0.8370926426444072,0.0046060579263777586,0.004490942766915771,0.004004964492305124,0.891787025612798,0.48220224302377934,36.8,
0.002,1.4,6.0,12,0.3,7,kmeans,0.8355162834845145,0.0046060579263777586,0.004490942766915771,0.004004964492305124,0.891787025612798,0.48220224302377934,0.3,
0.0018,0.8,2.75,20,100,1,jump,0.5010876604605587,0.005403753477278559,0.0036994234072310122,0.0035769079825211884,0.9668825621662145,14.352641283492574,36.7,
0.0018,0.8,2.75,20,100,1,kmeans,0.7891446333381128,0.005403753477278559,0.0036994234072310122,0.0035769079825211884,0.9668825621662145,14.352641283492574,0.2,
0.0016,0.8,2.0,12,0.03,0,jump,0.505537027014284,0.0060745723101342,0.003771871503723163,0.0032098300002390704,0.8509913439709414,6.79903803518196,37.8,
0.0016,0.8,2.0,12,0.03,0,kmeans,0.5042955704534189,0.0060745723101342,0.003771871503723163,0.0032098300002390704,0.8509913439709414,6.79903803518196,0.4,
0.002,0.8,6.0,20,100,1,jump,0.8333895372946726,0.003664416295530779,0.003510991929955177,0.004009695771752118,1.1420407257396652,2.155391550487243,37.0,
0.002,0.8,6.0,20,100,1,kmeans,0.8624450092888365,0.003664416295530779,0.003510991929955177,0.004009695771752118,1.1420407257396652,2.155391550487243,0.2,
0.0008,0.8,2.0,8,30,1,jump,0.5545951823515138,0.005118081366438235,0.0031952228652804425,0.0015698638816950801,0.49131592627023035,4.085107806255239,37.5,
0.0008,0.8,2.0,8,30,1,kmeans,0.5018934106555767,0.005118081366438235,0.0031952228652804425,0.0015698638816950801,0.49131592627023035,4.085107806255239,0.5,
