loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0011,0.8,2.75,8,2,jump,0.7242828794088061,0.004432137319218076,0.0031354247500017993,0.0022085337230089643,0.7043810325882313,4.177636271899198,33.7,
0.0011,0.8,2.75,8,2,kmeans,0.7251854693470179,0.004432137319218076,0.0031354247500017993,0.0022085337230089643,0.7043810325882313,4.177636271899198,0.5,
0.0005,1.6,2.0,12,5,vae,0.5254458101910999,0.004852808921214293,0.004219716102748211,0.001001685289358286,0.2373821520139494,3.3230485315461413,932.1,
0.0005,1.6,2.0,12,5,jump,0.5133160699156409,0.004852808921214293,0.004219716102748211,0.001001685289358286,0.2373821520139494,3.3230485315461413,34.1,
0.0005,1.6,2.0,12,5,kmeans,0.513733846865176,0.004852808921214293,0.004219716102748211,0.001001685289358286,0.2373821520139494,3.3230485315461413,0.6,
0.0008,1.6,6.0,20,2,vae,0.6391719043073661,0.004279437108296849,0.004136170026533564,0.0016042292332305622,0.3878537929870916,0.5441780833249066,936.0,
0.0008,1.6,6.0,20,2,jump,0.6674894798426096,0.004279437108296849,0.004136170026533564,0.0016042292332305622,0.3878537929870916,0.5441780833249066,34.9,
0.0008,1.6,6.0,20,2,kmeans,0.6656409690090054,0.004279437108296849,0.004136170026533564,0.0016042292332305622,0.3878537929870916,0.5441780833249066,0.6,
0.0012,1.6,4.0,12,2,vae,0.7215862748408113,0.004502328004397252,0.0042962311761548305,0.00236421382384653,0.5502994896942498,0.9030538456188806,930.9,
0.0012,1.6,4.0,12,2,jump,0.7370753919954092,0.004502328004397252,0.0042962311761548305,0.00236421382384653,0.5502994896942498,0.9030538456188806,34.3,
0.0012,1.6,4.0,12,2,kmeans,0.7239793327034594,0.004502328004397252,0.0042962311761548305,0.00236421382384653,0.5502994896942498,0.9030538456188806,0.7,
0.0016,1.1,4.0,12,1,vae,0.758087534925872,0.004542104213555272,0.003985451290995453,0.003195280660998789,0.80173622199776,3.0116329468997467,915.6,
0.0016,1.1,4.0,12,1,jump,0.766650602388905,0.004542104213555272,0.003985451290995453,0.003195280660998789,0.80173622199776,3.0116329468997467,33.8,
0.0016,1.1,4.0,12,1,kmeans,0.7833213226443454,0.004542104213555272,0.003985451290995453,0.003195280660998789,0.80173622199776,3.0116329468997467,0.5,
0.002,0.8,2.0,12,1,vae,0.751675270750265,0.006150171395672847,0.0041023246438456045,0.003964407993134673,0.9663808541047971,6.29187745273285,961.2,
0.002,0.8,2.0,12,1,jump,0.7747500009279782,0.006150171395672847,0.0041023246438456045,0.003964407993134673,0.9663808541047971,6.29187745273285,36.4,
0.002,0.8,2.0,12,1,kmeans,0.7844376678858849,0.006150171395672847,0.0041023246438456045,0.003964407993134673,0.9663808541047971,6.29187745273285,0.5,
0.0016,0.8,6.0,12,4,vae,0.8307142094696338,0.0034289885233930854,0.0031533991909019118,0.00318800586438115,1.0109744029804677,2.0678645415373893,959.3,
0.0016,0.8,6.0,12,4,jump,0.8212110640475488,0.0034289885233930854,0.0031533991909019118,0.00318800586438115,1.0109744029804677,2.0678645415373893,36.4,
0.0016,0.8,6.0,12,4,kmeans,0.843362756964989,0.0034289885233930854,0.0031533991909019118,0.00318800586438115,1.0109744029804677,2.0678645415373893,0.4,
0.0014,1.1,2.75,8,0,vae,0.7294198329066927,0.004841322499871803,0.0039952076608930145,0.002788213709728541,0.6978895582877701,2.4190811043372857,971.9,
0.0014,1.1,2.75,8,0,jump,0.7474715809934371,0.004841322499871803,0.0039952076608930145,0.002788213709728541,0.6978895582877701,2.4190811043372857,35.9,
0.0014,1.1,2.75,8,0,kmeans,0.7329669859920106,0.004841322499871803,0.0039952076608930145,0.002788213709728541,0.6978895582877701,2.4190811043372857,0.5,
0.001,1.6,2.0,20,0,vae,0.6834869605669387,0.005072288180137377,0.004310080953393065,0.001986496535059114,0.46089541160364195,6.340267883741079,965.6,
0.001,1.6,2.0,20,0,jump,0.500484880896731,0.005072288180137377,0.004310080953393065,0.001986496535059114,0.46089541160364195,6.340267883741079,35.3,
0.001,1.6,2.0,20,0,kmeans,0.6891025343148887,0.005072288180137377,0.004310080953393065,0.001986496535059114,0.46089541160364195,6.340267883741079,0.6,
0.0016,1.1,4.0,8,0,vae,0.7773294038524504,0.004489636022672139,0.003984682434969419,0.003189725899246502,0.8004968906062855,1.8303593524660897,966.2,
0.0016,1.1,4.0,8,0,jump,0.8011500676388268,0.004489636022672139,0.003984682434969419,0.003189725899246502,0.8004968906062855,1.8303593524660897,35.2,
0.0016,1.1,4.0,8,0,kmeans,0.7941761451043836,0.004489636022672139,0.003984682434969419,0.003189725899246502,0.8004968906062855,1.8303593524660897,0.4,
0.002,1.1,2.75,12,3,vae,0.7990083350694807,0.005288219281862977,0.004383651264094252,0.00397428785634618,0.9066158818104215,4.004386304748232,980.6,
0.002,1.1,2.75,12,3,jump,0.8071746534318095,0.005288219281862977,0.004383651264094252,0.00397428785634618,0.9066158818104215,4.004386304748232,36.3,
0.002,1.1,2.75,12,3,kmeans,0.8102863094904524,0.005288219281862977,0.004383651264094252,0.00397428785634618,0.9066158818104215,4.004386304748232,0.5,
0.001,1.6,4.0,20,5,vae,0.6821596354621946,0.0044819773429119435,0.004242375543104082,0.0019501891114717717,0.45969271028864356,1.309059839450704,975.5,
0.001,1.6,4.0,20,5,jump,0.7194703430397832,0.0044819773429119435,0.004242375543104082,0.0019501891114717717,0.45969271028864356,1.309059839450704,35.3,
0.001,1.6,4.0,20,5,kmeans,0.6966300953738588,0.0044819773429119435,0.004242375543104082,0.0019501891114717717,0.45969271028864356,1.309059839450704,0.9,
0.0008,1.1,2.75,12,3,vae,0.6384242961713414,0.004961463509083943,0.0037643943073901952,0.0015742878563461803,0.4182048233511471,5.207552622645531,949.2,
0.0008,1.1,2.75,12,3,jump,0.5031821868358385,0.004961463509083943,0.0037643943073901952,0.0015742878563461803,0.4182048233511471,5.207552622645531,33.3,
0.0008,1.1,2.75,12,3,kmeans,0.5027587618292522,0.004961463509083943,0.0037643943073901952,0.0015742878563461803,0.4182048233511471,5.207552622645531,0.5,
0.002,1.6,2.75,20,0,vae,0.8091243943465599,0.005038125516318839,0.004688555397632688,0.003966580206843061,0.8460132963014234,2.7289525037286113,974.6,
0.002,1.6,2.75,20,0,jump,0.808829550226587,0.005038125516318839,0.004688555397632688,0.003966580206843061,0.8460132963014234,2.7289525037286113,33.4,
0.002,1.6,2.75,20,0,kmeans,0.8159821899645676,0.005038125516318839,0.004688555397632688,0.003966580206843061,0.8460132963014234,2.7289525037286113,0.4,
0.001,0.8,6.0,8,0,vae,0.7482865102329992,0.003212242392671096,0.002757996250085979,0.00201195566100034,0.7294990560402751,2.7005072654962623,996.2,
0.001,0.8,6.0,8,0,jump,0.7681995553023377,0.003212242392671096,0.002757996250085979,0.00201195566100034,0.7294990560402751,2.7005072654962623,33.1,
0.001,0.8,6.0,8,0,kmeans,0.7584928787079268,0.003212242392671096,0.002757996250085979,0.00201195566100034,0.7294990560402751,2.7005072654962623,0.4,
0.0014,1.6,6.0,20,5,vae,0.7554742869054183,0.0044516850178753075,0.004365523122163122,0.0027923140145847377,0.6396287309551902,0.39325646802015113,983.8,
0.0014,1.6,6.0,20,5,jump,0.7698467665553022,0.0044516850178753075,0.004365523122163122,0.0027923140145847377,0.6396287309551902,0.39325646802015113,34.3,
0.0014,1.6,6.0,20,5,kmeans,0.7573284272759118,0.0044516850178753075,0.004365523122163122,0.0027923140145847377,0.6396287309551902,0.39325646802015113,0.4,
0.001,1.6,2.75,8,3,vae,0.6884510564074372,0.0046247179405008235,0.004282771051281528,0.0020427366791643904,0.47696611719488136,1.1677980463779996,1006.2,
0.001,1.6,2.75,8,3,jump,0.7199387272510454,0.0046247179405008235,0.004282771051281528,0.0020427366791643904,0.47696611719488136,1.1677980463779996,34.5,
0.001,1.6,2.75,8,3,kmeans,0.6864781374218738,0.0046247179405008235,0.004282771051281528,0.0020427366791643904,0.47696611719488136,1.1677980463779996,0.6,
0.0008,1.1,6.0,8,0,vae,0.6694260098022202,0.003925631828218283,0.003561411836578757,0.0016365647941648717,0.4595269711174502,1.4619153689353261,1000.4,
0.0008,1.1,6.0,8,0,jump,0.7010532875386986,0.003925631828218283,0.003561411836578757,0.0016365647941648717,0.4595269711174502,1.4619153689353261,34.1,
0.0008,1.1,6.0,8,0,kmeans,0.67947929142853,0.003925631828218283,0.003561411836578757,0.0016365647941648717,0.4595269711174502,1.4619153689353261,1.1,
0.0008,0.8,6.0,8,4,vae,0.7233389962497637,0.0031294808933857348,0.0026567842582988937,0.001588510268716968,0.5979071367029521,2.753514381174247,995.9,
0.0008,0.8,6.0,8,4,jump,0.7362560009644048,0.0031294808933857348,0.0026567842582988937,0.001588510268716968,0.5979071367029521,2.753514381174247,32.4,
