loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,12,scales,10,kmeans,0.5019585624412494,0.005888058600464153,0.003139337936572999,0.0009524770284115383,0.30340060473110214,7.838734616008081,0.2,
0.0005,0.8,2.0,12,scales,11,kmeans,0.502553263449615,0.005924932613874491,0.0031412109504107733,0.0009934462866523813,0.31626220025830143,7.776417905673144,0.2,
0.0005,0.8,2.0,12,scales,12,kmeans,0.5027595070991187,0.005875805353138825,0.0031276963581015156,0.0009988285030278227,0.31934957510840434,7.739132914340017,0.2,
0.0005,0.8,2.0,12,scales,14,kmeans,0.5112426108007906,0.005869015284999477,0.0031464888290485813,0.0009676996983643369,0.3075490653043077,7.670614424942807,0.2,
0.0005,0.8,2.0,12,scales,13,kmeans,0.503579774541943,0.00591504119940016,0.0031254586748463886,0.0009813467754860104,0.3139848827258105,7.748375426250959,0.2,
0.0005,0.8,2.0,12,scales,15,kmeans,0.5057833091540831,0.0058701670602995925,0.0031332180778696184,0.0009801500528574683,0.31282535351765417,7.795696978971282,0.2,
0.0005,0.8,2.0,12,scales,17,kmeans,0.5084092124895486,0.005893541874180625,0.0031504982558604026,0.0010271252010547623,0.32601992371973365,7.732033991921266,0.2,
0.0005,0.8,2.0,12,scales,16,kmeans,0.5092417946537,0.0058399064530315885,0.0031144575264188544,0.0009846133838046103,0.3161428195608639,7.506479101741805,0.2,
0.0005,0.8,2.0,12,scales,18,kmeans,0.5008562352150105,0.0058690457806018425,0.003126634008886791,0.0009730241520785873,0.3112050049071856,7.840814976150929,0.2,
0.0005,0.8,2.0,12,scales,19,kmeans,0.5042088383475891,0.005925724403603074,0.0031517073906704627,0.001000870105897291,0.3175644125022583,7.7184791685288,0.2,
0.0005,0.8,2.0,16,all,0,kmeans,0.5014929081498216,0.00641197059533599,0.0031393328016867065,0.0010098909806825983,0.32168968519043356,11.523138846836586,1.6,
